registry_entry_id,legacy_cluster_id,source_global_signal_cluster_id,registry_source,representative_expression,canonical_expression,candidate_id,first_seen_phase,source_arm,source_seed,source_generator,source_lane,field_list,operator_families,strict_mean_one_way_turnover,portfolio_replay_avg_one_way_turnover,portfolio_replay_long_only_sortino,strict_cost_adjusted_sortino
registry_001,cluster_002,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))","CSRank(Sub(Mean($amount,8),Mean($amount,5)))",phase3repair-direct_quota_rejected-operator_sanitize-847125cd4743,,,seed9,,ast_failure_aware_repair,['$amount'],"['CSRank', 'Mean', 'Sub']",,,,
registry_002,cluster_004,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,2)))))","Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,2)))))",stockpit-cem_adaptive_grammar-a9507bc750f6,,,seed11,,r0_cem_led,['$close'],"['CSRank', 'Delta', 'Mul', 'Neg', 'ZScore']",,,,
registry_003,cluster_005,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean(Abs($close),34)),ZScore(Mean(Abs($amount),34))))","CSRank(Mul(ZScore(Mean(Abs($close),34)),ZScore(Mean(Abs($amount),34))))",stockpit-cem_adaptive_grammar-363114a10d39,,,seed10,,r0_cem_led,"['$amount', '$close']","['Abs', 'CSRank', 'Mean', 'Mul', 'ZScore']",,,,
registry_004,cluster_007,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($high,6),Mean($high,3)))","CSRank(Sub(Mean($high,6),Mean($high,3)))",phase3repair-direct_quota_rejected-operator_sanitize-056006c83140,,,seed11,,ast_failure_aware_repair,['$high'],"['CSRank', 'Mean', 'Sub']",,,,
registry_005,cluster_008,,phase3D_cumulative_previous_103,"CSRank(CSResidual(CSRank(Mean(Abs($close),21)),CSRank(Mean(Abs($final_float_market_cap),8))))","CSRank(CSResidual(CSRank(Mean(Abs($close),21)),CSRank(Mean(Abs($final_float_market_cap),8))))",stockpit-cem_adaptive_grammar-9f9a7656ebc5,,,seed10,,r0_cem_led,"['$close', '$final_float_market_cap']","['Abs', 'CSRank', 'CSResidual', 'Mean']",,,,
registry_006,cluster_010,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($close,8),Mean($close,5)))","CSRank(Sub(Mean($close,8),Mean($close,5)))",phase3repair-direct_quota_rejected-operator_sanitize-04c5cf6d3f47,,,seed12,,ast_failure_aware_repair,['$close'],"['CSRank', 'Mean', 'Sub']",,,,
registry_007,cluster_011,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))","CSRank(Sub(Mean($amount,6),Mean($amount,3)))",phase3repair-direct_quota_rejected-operator_sanitize-09b8ad3f0510,,,seed9,,ast_failure_aware_repair,['$amount'],"['CSRank', 'Mean', 'Sub']",,,,
registry_008,cluster_012,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($close,8)),ZScore(Std($final_float_market_cap,34))))","CSRank(Mul(ZScore(Std($close,8)),ZScore(Std($final_float_market_cap,34))))",stockpit-cem_adaptive_grammar-42de4a8e84ec,,,seed9,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Mul', 'Std', 'ZScore']",,,,
registry_009,cluster_013,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($close,2)),ZScore(Std($final_float_market_cap,2))))","CSRank(Mul(ZScore(Std($close,2)),ZScore(Std($final_float_market_cap,2))))",stockpit-cem_adaptive_grammar-e26646ccab93,,,seed9,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Mul', 'Std', 'ZScore']",,,,
registry_010,cluster_014,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,21))))","CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,21))))",stockpit-cem_adaptive_grammar-1167107a9b52,,,seed9,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Mean', 'Mul', 'ZScore']",,,,
