dataset,field,dtype,route,pit_rule,feature_family,meaning,allowed_use
uplimit_stocks,amount,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,event_liquidity,event-day traded amount from vendor event row,minute_event_or_tplus1
uplimit_stocks,auction_buy,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,auction_flow,auction buy pressure,minute_event_or_tplus1
uplimit_stocks,auction_money,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,auction_flow,auction money pressure,minute_event_or_tplus1
uplimit_stocks,auction_offer,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,auction_flow,auction offer pressure,minute_event_or_tplus1
uplimit_stocks,auction_pre1max_ratio,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,auction_flow,auction previous max ratio,minute_event_or_tplus1
uplimit_stocks,auction_turnover,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,auction_flow,auction turnover pressure,minute_event_or_tplus1
uplimit_stocks,checked,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
uplimit_stocks,date1,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
uplimit_stocks,fd_close,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,seal_strength,close seal/order strength,minute_event_or_tplus1
uplimit_stocks,fd_max,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,seal_strength,max seal/order strength,minute_event_or_tplus1
uplimit_stocks,id,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
uplimit_stocks,market_c,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,event_market_context,vendor event market context,minute_event_or_tplus1
uplimit_stocks,market_c_c,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,event_market_context,vendor event market context,minute_event_or_tplus1
uplimit_stocks,next_close_pct,string,blocked_future_label,forbidden_as_selector_input,future_label,future/next-session outcome field,label/audit only
uplimit_stocks,next_day,string,blocked_future_label,forbidden_as_selector_input,future_label,future/next-session outcome field,label/audit only
uplimit_stocks,next_gt9_offer_v,string,blocked_future_label,forbidden_as_selector_input,future_label,future/next-session outcome field,label/audit only
uplimit_stocks,next_gt9_time,string,blocked_future_label,forbidden_as_selector_input,future_label,future/next-session outcome field,label/audit only
uplimit_stocks,next_gt9_turnover,string,blocked_future_label,forbidden_as_selector_input,future_label,future/next-session outcome field,label/audit only
uplimit_stocks,next_open_pct,string,blocked_future_label,forbidden_as_selector_input,future_label,future/next-session outcome field,label/audit only
uplimit_stocks,next_open_yi,string,blocked_future_label,forbidden_as_selector_input,future_label,future/next-session outcome field,label/audit only
uplimit_stocks,plate_code,string,diagnostic_context,event_row_available_after_up_limit_time_or_T_plus_1_daily,industry_theme_key,theme/plate grouping key,diagnostic_context
uplimit_stocks,stock_code,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
uplimit_stocks,stock_name,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
uplimit_stocks,up_limit_desc,string,diagnostic_context,event_row_available_after_up_limit_time_or_T_plus_1_daily,event_text,vendor limit-up description text; parse before selector use,diagnostic_context
uplimit_stocks,up_limit_keep_times,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,event_state,board streak state,minute_event_or_tplus1
uplimit_stocks,up_limit_time,string,minute_event_cutoff,timestamped_intraday_event_after_up_limit_time,event_time,usable after this timestamp only,minute_event_cutoff
