panel_field,source_group,dataset,raw_field,route,field_family,data_type,materialized_path,materialization_mode,required_keys,missing_keys,raw_field_exists,materialization_status,block_reason,pit_rule
ctx_fulla_bs_accept_deposit_interbank,fundamental_pit_silver,fundamental_balance_long,ACCEPT_DEPOSIT_INTERBANK,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_accounts_payable,fundamental_pit_silver,fundamental_balance_long,ACCOUNTS_PAYABLE,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_accounts_rece,fundamental_pit_silver,fundamental_balance_long,ACCOUNTS_RECE,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_accrued_expense,fundamental_pit_silver,fundamental_balance_long,ACCRUED_EXPENSE,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_advance_receivables,fundamental_pit_silver,fundamental_balance_long,ADVANCE_RECEIVABLES,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_agent_trade_security,fundamental_pit_silver,fundamental_balance_long,AGENT_TRADE_SECURITY,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_agent_underwrite_security,fundamental_pit_silver,fundamental_balance_long,AGENT_UNDERWRITE_SECURITY,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_amortize_cost_finasset,fundamental_pit_silver,fundamental_balance_long,AMORTIZE_COST_FINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_amortize_cost_finliab,fundamental_pit_silver,fundamental_balance_long,AMORTIZE_COST_FINLIAB,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_amortize_cost_ncfinasset,fundamental_pit_silver,fundamental_balance_long,AMORTIZE_COST_NCFINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_amortize_cost_ncfinliab,fundamental_pit_silver,fundamental_balance_long,AMORTIZE_COST_NCFINLIAB,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
