source_registry,source_group,dataset,field_name,field_family,route,selector_allowed,pit_rule,priority,asset_status,integration_hint,panel_materialized,panel_aliases,factor_pack_referenced,factor_pack_aliases,factor_pack_names,selector_selected,selector_aliases,availability_executable_seen,availability_aliases,blocked_or_metadata,high_value_family,integration_status,recommended_repair_action,repair_priority_score,searcher_lane,searcher_suitability,adaptation_proof_status,promotion_gate,should_enter_direct_formula_search,should_enter_event_state_machine,should_enter_regime_or_context_gate,should_enter_tradability_gate,should_remain_blocked_from_search,needs_bounded_factor_pack,needs_pit_sidecar_or_ingestion,classification_reason
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,billboard_buy,ACCUM_AMOUNT,flow_liquidity,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,nan,True,ctx_billboard_accum_amount,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.8,announcement_pit_formula_lane,direct_formula_candidate_after_notice_lag,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,announcement fields can enter formulas only after PIT notice/lag contract
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,billboard_details,ACCUM_AMOUNT,flow_liquidity,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,nan,True,ctx_billboard_accum_amount,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.8,announcement_pit_formula_lane,direct_formula_candidate_after_notice_lag,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,announcement fields can enter formulas only after PIT notice/lag contract
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,billboard_sell,ACCUM_AMOUNT,flow_liquidity,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,nan,True,ctx_billboard_accum_amount,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.8,announcement_pit_formula_lane,direct_formula_candidate_after_notice_lag,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,announcement fields can enter formulas only after PIT notice/lag contract
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,billboard_details,DEAL_AMOUNT_RATIO,flow_liquidity,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,nan,True,ctx_billboard_deal_amount_ratio,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.8,announcement_pit_formula_lane,direct_formula_candidate_after_notice_lag,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,announcement fields can enter formulas only after PIT notice/lag contract
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,billboard_details,TURNOVERRATE,flow_liquidity,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,nan,True,ctx_billboard_turnoverrate,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.8,announcement_pit_formula_lane,direct_formula_candidate_after_notice_lag,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,announcement fields can enter formulas only after PIT notice/lag contract
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,amount_yuan,flow_liquidity,lagged_daily_context_feature,candidate_or_regime_interaction,same-day daily summary forbidden for open/morning decisions; use lagged context,high,registered,nan,True,ctx_hfq_amount_yuan|ctx_hfq_amount_yuan_x|ctx_hfq_amount_yuan_y,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.8,lagged_daily_formula_lane,direct_formula_candidate_lagged,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,daily valuation/liquidity/capacity fields can enter formulas with lagged availability
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,volume_shares,flow_liquidity,lagged_daily_context_feature,candidate_or_regime_interaction,same-day daily summary forbidden for open/morning decisions; use lagged context,high,registered,nan,True,ctx_hfq_volume_shares|ctx_hfq_volume_shares_x|ctx_hfq_volume_shares_y,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.8,lagged_daily_formula_lane,direct_formula_candidate_lagged,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,daily valuation/liquidity/capacity fields can enter formulas with lagged availability
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,holder_num_detail,CHANGE_SHARES,capacity_size,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,nan,True,ctx_holder_change_shares,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.6,announcement_pit_formula_lane,direct_formula_candidate_after_notice_lag,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,announcement fields can enter formulas only after PIT notice/lag contract
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,holder_num_latest,CHANGE_SHARES,capacity_size,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,nan,True,ctx_holder_change_shares,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.6,announcement_pit_formula_lane,direct_formula_candidate_after_notice_lag,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,announcement fields can enter formulas only after PIT notice/lag contract
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,billboard_details,FREE_MARKET_CAP,capacity_size,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,nan,True,ctx_billboard_free_market_cap,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.6,announcement_pit_formula_lane,direct_formula_candidate_after_notice_lag,panel_ready_needs_factor_pack,build_bounded_factor_pack_then_selector_canary,True,False,False,False,False,True,False,announcement fields can enter formulas only after PIT notice/lag contract
