source_registry,source_group,dataset,field_name,field_family,route,selector_allowed,pit_rule,priority,asset_status,integration_hint,panel_materialized,panel_aliases,factor_pack_referenced,factor_pack_aliases,factor_pack_names,selector_selected,selector_aliases,availability_executable_seen,availability_aliases,blocked_or_metadata,high_value_family,integration_status,recommended_repair_action,repair_priority_score,searcher_lane,searcher_suitability,adaptation_proof_status,promotion_gate,should_enter_direct_formula_search,should_enter_event_state_machine,should_enter_regime_or_context_gate,should_enter_tradability_gate,should_remain_blocked_from_search,needs_bounded_factor_pack,needs_pit_sidecar_or_ingestion,classification_reason
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,is_marginable,leverage_flow,lagged_daily_context_feature,candidate_or_regime_interaction,same-day daily summary forbidden for open/morning decisions; use lagged context,high,registered,nan,True,ctx_hfq_is_marginable|ctx_hfq_is_marginable_x|ctx_hfq_is_marginable_y,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,10.4,lagged_state_context_lane,context_or_interaction,adapted_as_non_formula_input_or_needs_gate_contract,requires_gate_or_event_validation_not_formula_replay,False,False,True,False,False,False,False,"binary state should be lagged context or interaction, not unqualified direct alpha"
global_field_route,cn_local_index_1min_silver_v2_20260601\index_1min_silver_by_date,index_1min_v2,amplitude_pct,group_market_context,index_minute_market_context,regime_or_interaction_candidate,index context only after observed minute window closes,medium,registered,nan,True,ctx_hfq_amplitude_pct|ctx_hfq_amplitude_pct_x|ctx_hfq_amplitude_pct_y,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,9.3,regime_context_interaction_lane,context_or_interaction,adapted_as_non_formula_input_or_needs_gate_contract,requires_gate_or_event_validation_not_formula_replay,False,False,True,False,False,False,False,"market/group context should condition or interact with alpha, not dominate direct ranking alone"
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,industry,group_market_context,lagged_daily_context_feature,candidate_or_regime_interaction,same-day daily summary forbidden for open/morning decisions; use lagged context,medium,registered,nan,True,ctx_hfq_industry|ctx_hfq_industry_x|ctx_hfq_industry_y,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,9.3,regime_context_interaction_lane,context_or_interaction,adapted_as_non_formula_input_or_needs_gate_contract,requires_gate_or_event_validation_not_formula_replay,False,False,True,False,False,False,False,"market/group context should condition or interact with alpha, not dominate direct ranking alone"
global_field_route,cn_local_index_1min_silver_v2_20260601\index_1min_silver_by_date,index_1min_v2,pct_chg,group_market_context,index_minute_market_context,regime_or_interaction_candidate,index context only after observed minute window closes,medium,registered,nan,True,ctx_hfq_pct_chg|ctx_hfq_pct_chg_x|ctx_hfq_pct_chg_y|m1_pct_chg_first,False,nan,nan,False,nan,False,nan,False,True,panel_only,build_factor_pack_candidates_then_selector_canary,9.3,regime_context_interaction_lane,context_or_interaction,adapted_as_non_formula_input_or_needs_gate_contract,requires_gate_or_event_validation_not_formula_replay,False,False,True,False,False,False,False,"market/group context should condition or interact with alpha, not dominate direct ranking alone"
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,up_limit_type,limit_event_sentiment,timestamped_event_feature,event_module_candidate_not_daily_after_open,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,very_high,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,False,True,contract_only,materialize_pit_sidecar_before_formula_search,9.0,event_state_machine_gate_lane,event_module_or_gate,not_formula_search_suitable,requires_gate_or_event_validation_not_formula_replay,False,True,False,False,False,False,False,event categorical/cutoff fields should drive state machines or gates
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_volumn,flow_liquidity,timestamped_event_feature,event_module_candidate_not_daily_after_open,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,very_high,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,False,True,contract_only,materialize_pit_sidecar_before_formula_search,8.8,event_state_machine_gate_lane,event_module_or_gate,not_formula_search_suitable,requires_gate_or_event_validation_not_formula_replay,False,True,False,False,False,False,False,event categorical/cutoff fields should drive state machines or gates
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,actualcirculation_value,capacity_size,timestamped_event_feature,event_module_candidate_not_daily_after_open,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,very_high,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,False,True,contract_only,materialize_pit_sidecar_before_formula_search,8.6,event_state_machine_gate_lane,event_module_or_gate,not_formula_search_suitable,requires_gate_or_event_validation_not_formula_replay,False,True,False,False,False,False,False,event categorical/cutoff fields should drive state machines or gates
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,market_type,group_market_context,timestamped_event_feature,event_module_candidate_not_daily_after_open,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,very_high,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,False,True,contract_only,materialize_pit_sidecar_before_formula_search,8.3,event_state_machine_gate_lane,event_module_or_gate,not_formula_search_suitable,requires_gate_or_event_validation_not_formula_replay,False,True,False,False,False,False,False,event categorical/cutoff fields should drive state machines or gates
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,plate_code,group_market_context,timestamped_event_feature,event_module_candidate_not_daily_after_open,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,very_high,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,False,True,contract_only,materialize_pit_sidecar_before_formula_search,8.3,event_state_machine_gate_lane,event_module_or_gate,not_formula_search_suitable,requires_gate_or_event_validation_not_formula_replay,False,True,False,False,False,False,False,event categorical/cutoff fields should drive state machines or gates
global_field_route,cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,up_limit_type,limit_event_sentiment,timestamped_event_feature,event_module_candidate_not_daily_after_open,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,very_high,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,False,True,probe_or_backlog,finish_ingestion_and_pit_contract_first,8.0,event_state_machine_gate_lane,event_module_or_gate,not_formula_search_suitable,requires_gate_or_event_validation_not_formula_replay,False,True,False,False,False,False,False,event categorical/cutoff fields should drive state machines or gates
