source_registry,source_group,dataset,field_name,field_family,route,selector_allowed,pit_rule,priority,asset_status,integration_hint,panel_materialized,panel_aliases,factor_pack_referenced,factor_pack_aliases,factor_pack_names,selector_selected,selector_aliases,availability_executable_seen,availability_aliases,blocked_or_metadata,high_value_family,integration_status,recommended_repair_action,repair_priority_score,searcher_lane,searcher_suitability,adaptation_proof_status,promotion_gate,should_enter_direct_formula_search,should_enter_event_state_machine,should_enter_regime_or_context_gate,should_enter_tradability_gate,should_remain_blocked_from_search,needs_bounded_factor_pack,needs_pit_sidecar_or_ingestion,classification_reason
global_field_route,cn_zzshare_moneyflow_probe_v1_20260602,uplimit_hot,plate_stocks_next_yi,limit_event_sentiment,probe_only_candidate_source,blocked_until_silver_panel,probe schema is not selector data; build silver/PIT panel first,blocked,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,False,True,probe_or_backlog,finish_ingestion_and_pit_contract_first,5.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,uplimit_trend,nums_DT,limit_event_sentiment,manual_review_required,blocked_until_contract,manual availability review required,blocked,registered,nan,True,mkt_nums_DT_at_0930|mkt_nums_DT_at_0935|mkt_nums_DT_at_1000|mkt_nums_DT_at_1130|mkt_nums_DT_at_1430|mkt_nums_ZBL_at_0930|mkt_nums_ZBL_at_0935|mkt_nums_ZBL_at_1000,False,nan,nan,False,nan,False,nan,True,True,blocked_or_metadata,no_alpha_action,4.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,uplimit_trend,nums_ZBL,limit_event_sentiment,manual_review_required,blocked_until_contract,manual availability review required,blocked,registered,nan,True,mkt_nums_ZBL_at_0930|mkt_nums_ZBL_at_0935|mkt_nums_ZBL_at_1000|mkt_nums_ZBL_at_1130|mkt_nums_ZBL_at_1430,False,nan,nan,False,nan,False,nan,True,True,blocked_or_metadata,no_alpha_action,4.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,uplimit_trend,nums_ZT,limit_event_sentiment,manual_review_required,blocked_until_contract,manual availability review required,blocked,registered,nan,True,mkt_nums_DT_at_0930|mkt_nums_DT_at_0935|mkt_nums_DT_at_1000|mkt_nums_DT_at_1130|mkt_nums_DT_at_1430|mkt_nums_ZBL_at_0930|mkt_nums_ZBL_at_0935|mkt_nums_ZBL_at_1000,False,nan,nan,False,nan,False,nan,True,True,blocked_or_metadata,no_alpha_action,4.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,uplimit_trend,nums_ZTZB,limit_event_sentiment,manual_review_required,blocked_until_contract,manual availability review required,blocked,registered,nan,True,mkt_nums_ZTZB_at_0930|mkt_nums_ZTZB_at_0935|mkt_nums_ZTZB_at_1000|mkt_nums_ZTZB_at_1130|mkt_nums_ZTZB_at_1430,False,nan,nan,False,nan,False,nan,True,True,blocked_or_metadata,no_alpha_action,4.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,uplimit_trend,uplimit_count,limit_event_sentiment,manual_review_required,blocked_until_contract,manual availability review required,blocked,registered,nan,True,mkt_uplimit_count_at_0930|mkt_uplimit_count_at_0935|mkt_uplimit_count_at_1000|mkt_uplimit_count_at_1130|mkt_uplimit_count_at_1430,False,nan,nan,False,nan,False,nan,True,True,blocked_or_metadata,no_alpha_action,4.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
nonminute_system_integration,cn_zzshare_uplimit_history_silver_v1_20260531\review_uplimit_reason\review_uplimit_reason.parquet,review_uplimit_reason,up_limit_time,limit_event,timestamped_stock_intraday_event,true_after_cutoff_only,same-day use before event timestamp is leakage; reason text requires separate NLP contract,nan,registered,integrated_event_alignment_panel,False,nan,False,nan,nan,False,nan,False,nan,False,False,contract_only,materialize_pit_sidecar_before_formula_search,3.0,event_cutoff_contract,not_direct_formula,not_formula_search_suitable,never_formula_search,False,True,False,False,True,False,False,"timestamp fields define observable cutoff; they should gate event features, not be ranked directly"
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,uplimit_trend,nums_SZJS,limit_event_sentiment,manual_review_required,blocked_until_contract,manual availability review required,blocked,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,True,True,blocked_or_metadata,no_alpha_action,3.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,uplimit_trend,nums_XDJS,limit_event_sentiment,manual_review_required,blocked_until_contract,manual availability review required,blocked,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,True,True,blocked_or_metadata,no_alpha_action,3.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,uplimit_trend,nums_ZRZT,limit_event_sentiment,manual_review_required,blocked_until_contract,manual availability review required,blocked,registered,nan,False,nan,False,nan,nan,False,nan,False,nan,True,True,blocked_or_metadata,no_alpha_action,3.0,blocked_not_search_input,not_suitable,not_formula_search_suitable,never_formula_search,False,False,False,False,True,False,False,metadata/time/future-label/text fields are not alpha formula inputs
