factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_interaction::rx_range_location::rx_opening_amount::spread,6,0.2205327809,0,6
rx_range_location::rank,4,0.2178656872,0,4
rx_range_location::inverted,4,0.2178656872,0,4
rx_interaction::rx_range_location::rx_opening_amount::product,6,0.2140891183,0,6
rx_interaction::rx_range_location::rx_flow_amount_volume::spread,2,0.194068437,0,2
rx_interaction::rx_range_location::rx_range_location::spread,1,0.1701796525,0,1
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.1684131209,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::product,7,0.1457733013,0,3
rx_interaction::rx_intraday_return::rx_opening_amount::spread,7,0.1450018377,0,3
rx_intraday_return::rank,2,0.1404750905,0,1
rx_intraday_return::inverted,2,0.1404750905,0,1
rx_interaction::rx_intraday_return::rx_range_location::spread,2,0.1024806903,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,2,0.08294849091,0,0
rx_interaction::rx_range_location::rx_range_location::product,3,0.07235596055,1,0
rx_interaction::rx_opening_amount::rx_range_location::spread,6,0.05866342276,0,6
rx_volatility_state::rank,1,0.05636772281,0,1
rx_volatility_state::inverted,1,0.05636772281,0,1
rx_interaction::rx_opening_amount::rx_range_location::product,4,0.04980295353,0,3
rx_interaction::rx_opening_range::rx_volatility_state::spread,1,0.04897069107,0,1
rx_interaction::rx_intraday_return::rx_volatility_state::spread,1,0.04817052364,0,0
rx_interaction::rx_opening_range::rx_range_location::spread,3,0.04594210574,0,0
rx_interaction::rx_intraday_return::rx_range_location::product,2,0.04132824717,0,2
rx_interaction::rx_range_location::rx_volatility_state::product,2,0.04032578369,0,0
rx_interaction::rx_opening_divergence::rx_volatility_state::spread,1,0.03245949012,0,1
rx_interaction::rx_opening_range::rx_range_location::product,5,0.03167736821,0,3
rx_interaction::rx_opening_range::rx_volatility_state::product,1,0.03046807851,0,1
rx_interaction::rx_opening_divergence::rx_range_location::spread,1,0.02859873496,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::product,2,0.02842325341,0,0
