source_root,dataset,field_name,raw_kind,source_grain,field_family,route,visibility_class,selector_role,system_destination,pit_rule,recommended_transforms,priority,next_action,probe_path,probe_n,probe_params,plate_type,contract_path,contract_source,frequency_hint,pit_note,is_probe_only
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,amount,probe_schema,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,auction_buy,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,auction_money,probe_schema,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,auction_offer,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,auction_pre1max_ratio,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,auction_turnover,probe_schema,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,fd_close,probe_schema,timestamped_event,price_state,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_momentum|mean_reversion|gap|volatility|rank_xsection,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,fd_max,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,market_c,probe_schema,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,market_c_c,probe_schema,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,plate_code,probe_schema,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
