source,field,family,materialized,selector_status,priority,allowed_transforms,pit_policy,next_action,table_id,route,gap,recommended_transforms_from_registry
minute_panel_v2,code,key,True,blocked_not_selector_input,blocked,none,usable only after the observed minute window closes; future bars forbidden,keep_for_audit_or_label_only,,,,
minute_panel_v2,exec_date,key,True,blocked_not_selector_input,blocked,none,usable only after the observed minute window closes; future bars forbidden,keep_for_audit_or_label_only,,,,
minute_panel_v2,m1_open,minute_price_state,True,selector_candidate,low,lagged_level|zscore|rank_xsection,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_pre_close,minute_price_state,True,selector_candidate,low,lagged_level|zscore|rank_xsection,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_day_close,minute_price_state,True,selector_candidate,low,lagged_level|zscore|rank_xsection,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_day_high,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_day_low,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_amount_day,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution,,,,
minute_panel_v2,m1_vol_day,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution,,,,
minute_panel_v2,m1_bars_day,minute_coverage,True,selector_candidate,low,lagged_level|zscore|rank_xsection,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_pct_chg_first,minute_return_pressure,True,selector_candidate,high,gap|early_return|first_window_vs_close_diagnostic|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_first5_bars,minute_coverage,True,selector_candidate,low,lagged_level|zscore|rank_xsection,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_first5_vol,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution,,,,
minute_panel_v2,m1_first5_amount,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution,,,,
minute_panel_v2,m1_first5_high,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_first5_low,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_first5_last_close,minute_other,True,selector_candidate,low,lagged_level|zscore|rank_xsection,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_first5_vwap,minute_vwap_pressure,True,selector_candidate,high,vwap_return|open_pressure|window_comparison_5_15_30|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
minute_panel_v2,m1_first15_bars,minute_coverage,True,selector_candidate,low,lagged_level|zscore|rank_xsection,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template,,,,
