source,field,family,materialized,selector_status,priority,allowed_transforms,pit_policy,next_action
minute_panel_v2,m1_day_high,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_day_low,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_amount_day,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution
minute_panel_v2,m1_vol_day,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution
minute_panel_v2,m1_pct_chg_first,minute_return_pressure,True,selector_candidate,high,gap|early_return|first_window_vs_close_diagnostic|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first5_vol,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution
minute_panel_v2,m1_first5_amount,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution
minute_panel_v2,m1_first5_high,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first5_low,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first5_vwap,minute_vwap_pressure,True,selector_candidate,high,vwap_return|open_pressure|window_comparison_5_15_30|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first15_vol,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution
minute_panel_v2,m1_first15_amount,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution
minute_panel_v2,m1_first15_high,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first15_low,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first15_vwap,minute_vwap_pressure,True,selector_candidate,high,vwap_return|open_pressure|window_comparison_5_15_30|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first30_vol,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution
minute_panel_v2,m1_first30_amount,minute_flow_liquidity,True,selector_candidate,high,xsection_rank|zscore_by_date|first_window_share|amount_vol_ratio|interaction_with_daily_liquidity,usable only after the observed minute window closes; future bars forbidden,add_named_factor_pack_templates_and_selector_attribution
minute_panel_v2,m1_first30_high,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first30_low,minute_range_volatility,True,selector_candidate,medium,early_range|range_to_day_range|volatility_bucket|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first30_vwap,minute_vwap_pressure,True,selector_candidate,high,vwap_return|open_pressure|window_comparison_5_15_30|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_open_gap_vs_preclose,minute_return_pressure,True,selector_candidate,high,gap|early_return|first_window_vs_close_diagnostic|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first5_vwap_return_vs_open,minute_vwap_pressure,True,selector_candidate,high,vwap_return|open_pressure|window_comparison_5_15_30|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
minute_panel_v2,m1_first5_last_return_vs_open,minute_return_pressure,True,selector_candidate,high,gap|early_return|first_window_vs_close_diagnostic|xsection_rank,usable only after the observed minute window closes; future bars forbidden,eligible_for_factor_pack_template
