factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
cem_interaction::rx_range_location::rx_opening_amount::spread,8,0.2205327809,0,8
cem_atom::rx_range_location::rank,6,0.2178656872,0,6
cem_atom::rx_range_location::inverted,2,0.2178656872,0,2
cem_interaction::rx_range_location::rx_opening_amount::product,4,0.2140891183,0,4
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,8,0.1970152621,0,8
cem_interaction::rx_range_location::rx_opening_amount::signed_state,3,0.1806470249,0,3
cem_interaction::rx_range_location::rx_volatility_state::spread,4,0.1753233905,0,4
cem_interaction::rx_range_location::rx_range_location::spread,4,0.1749935355,0,4
cem_interaction::rx_intraday_return::rx_opening_amount::spread,4,0.1425862867,0,1
cem_atom::rx_intraday_return::rank,3,0.1404750905,1,1
cem_atom::rx_intraday_return::inverted,2,0.1404750905,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::product,4,0.1312842453,0,1
cem_interaction::rx_intraday_return::rx_range_location::spread,8,0.1108368508,0,6
cem_interaction::rx_intraday_return::rx_flow_amount_volume::spread,2,0.08294849091,0,0
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,3,0.07931596492,0,0
cem_interaction::rx_range_location::rx_range_location::product,1,0.07235596055,0,0
cem_interaction::rx_opening_amount::rx_range_location::spread,3,0.05866342276,0,3
cem_atom::rx_volatility_state::rank,1,0.05636772281,0,1
cem_interaction::rx_opening_amount::rx_range_location::product,3,0.04980295353,0,3
cem_interaction::rx_intraday_return::rx_volatility_state::spread,1,0.04817052364,0,0
cem_interaction::rx_opening_range::rx_range_location::spread,2,0.04594210574,0,1
cem_interaction::rx_range_location::rx_volatility_state::product,1,0.04016301657,0,0
cem_interaction::rx_opening_divergence::rx_volatility_state::spread,1,0.03245949012,0,1
cem_interaction::rx_opening_range::rx_range_location::product,1,0.03167736821,0,1
cem_interaction::rx_intraday_return::rx_range_location::product,1,0.03089420452,0,1
