factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_range_location::inverted,2,0.2574961063,0,2
rx_range_location::rank,2,0.2574961063,0,2
rx_interaction::rx_range_location::rx_range_location::residual,1,0.2566769577,0,1
rx_interaction::rx_range_location::rx_volatility_state::residual,1,0.2565408409,0,1
rx_interaction::rx_range_location::rx_range_location::spread,1,0.2118199642,0,1
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.2049633806,0,1
rx_interaction::rx_intraday_return::rx_volatility_state::residual,3,0.1606041102,0,1
rx_intraday_return::rank,2,0.1594241433,0,1
rx_intraday_return::inverted,2,0.1594241433,0,1
rx_interaction::rx_intraday_return::rx_range_location::residual,2,0.1546469654,0,1
rx_interaction::rx_intraday_return::rx_range_location::spread,2,0.1200278569,1,1
rx_interaction::rx_intraday_return::rx_opening_amount::product,1,0.1003080202,0,0
rx_interaction::rx_intraday_return::rx_flow_amount_volume::residual,2,0.09856232578,0,0
rx_interaction::rx_range_location::rx_range_location::product,1,0.08174773683,0,0
rx_interaction::rx_intraday_return::rx_range_location::product,4,0.04316456962,0,4
rx_interaction::rx_range_location::rx_volatility_state::product,2,0.04263512756,0,1
rx_interaction::rx_opening_divergence::rx_volatility_state::residual,4,0.03043589646,0,4
rx_interaction::rx_intraday_return::rx_volatility_state::product,1,0.02814846527,0,1
rx_interaction::rx_opening_divergence::rx_volatility_state::spread,2,0.02060747943,0,2
rx_interaction::rx_intraday_return::rx_flow_amount_volume::product,2,0.02051768728,0,1
rx_interaction::rx_opening_divergence::rx_volatility_state::product,2,0.0192822613,0,2
