source_registry,source_group,dataset,field_name,field_family,route,searcher_lane,panel_alias,pit_rule,lag_contract,repair_priority_score
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_rate,limit_event_sentiment,timestamped_event_feature,event_state_machine_formula_lane,evt_limit_fengdan_rate_last_by_0930,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,12.0
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_rate,limit_event_sentiment,timestamped_event_feature,event_state_machine_formula_lane,evt_limit_fengdan_rate_last_by_0935,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,12.0
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_rate,limit_event_sentiment,timestamped_event_feature,event_state_machine_formula_lane,evt_limit_fengdan_rate_last_by_1000,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,12.0
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_rate,limit_event_sentiment,timestamped_event_feature,event_state_machine_formula_lane,evt_limit_fengdan_rate_last_by_1130,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,12.0
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_money,flow_liquidity,timestamped_event_feature,event_state_machine_formula_lane,evt_limit_fengdan_money_last_by_0930,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,11.8
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_money,flow_liquidity,timestamped_event_feature,event_state_machine_formula_lane,evt_limit_fengdan_money_last_by_0935,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,11.8
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_money,flow_liquidity,timestamped_event_feature,event_state_machine_formula_lane,evt_limit_fengdan_money_last_by_1000,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,11.8
global_field_route,cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_money,flow_liquidity,timestamped_event_feature,event_state_machine_formula_lane,evt_limit_fengdan_money_last_by_1130,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,11.8
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,billboard_buy,ACCUM_AMOUNT,flow_liquidity,announcement_pit_feature,announcement_pit_formula_lane,ctx_billboard_accum_amount,use notice/disclosure date plus conservative next-trading-day lag,announcement_PIT_notice_date_plus_next_trading_day_lag,10.8
global_field_route,cn_public_xsection_no_kline_silver_v1_20260530,billboard_details,DEAL_AMOUNT_RATIO,flow_liquidity,announcement_pit_feature,announcement_pit_formula_lane,ctx_billboard_deal_amount_ratio,use notice/disclosure date plus conservative next-trading-day lag,announcement_PIT_notice_date_plus_next_trading_day_lag,10.8
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,amount_yuan,flow_liquidity,lagged_daily_context_feature,lagged_daily_formula_lane,ctx_hfq_amount_yuan,same-day daily summary forbidden for open/morning decisions; use lagged context,lagged_context_only; same-day daily summary forbidden for open/morning decisions,10.8
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,amount_yuan,flow_liquidity,lagged_daily_context_feature,lagged_daily_formula_lane,ctx_hfq_amount_yuan_x,same-day daily summary forbidden for open/morning decisions; use lagged context,lagged_context_only; same-day daily summary forbidden for open/morning decisions,10.8
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,amount_yuan,flow_liquidity,lagged_daily_context_feature,lagged_daily_formula_lane,ctx_hfq_amount_yuan_y,same-day daily summary forbidden for open/morning decisions; use lagged context,lagged_context_only; same-day daily summary forbidden for open/morning decisions,10.8
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,volume_shares,flow_liquidity,lagged_daily_context_feature,lagged_daily_formula_lane,ctx_hfq_volume_shares,same-day daily summary forbidden for open/morning decisions; use lagged context,lagged_context_only; same-day daily summary forbidden for open/morning decisions,10.8
global_field_route,cn_local_minute_daily_silver_v1_20260531,hfq_daily_2026,volume_shares,flow_liquidity,lagged_daily_context_feature,lagged_daily_formula_lane,ctx_hfq_volume_shares_x,same-day daily summary forbidden for open/morning decisions; use lagged context,lagged_context_only; same-day daily summary forbidden for open/morning decisions,10.8
