factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_interaction::rx_range_location::rx_opening_amount::spread,3,0.2318839218,0,3
rx_range_location::inverted,3,0.2312620844,0,3
rx_range_location::rank,3,0.2312620844,0,3
rx_interaction::rx_range_location::rx_opening_amount::product,4,0.2245485543,0,4
rx_interaction::rx_range_location::rx_flow_amount_volume::spread,2,0.2135879367,0,2
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.1832020183,0,1
rx_interaction::rx_range_location::rx_range_location::spread,1,0.1824785735,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::spread,2,0.1431386196,0,1
rx_intraday_return::rank,2,0.1401787217,0,1
rx_intraday_return::inverted,2,0.1401787217,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::product,2,0.1365866264,0,1
rx_interaction::rx_intraday_return::rx_range_location::spread,2,0.1039715089,0,2
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,2,0.08424810493,0,0
rx_interaction::rx_range_location::rx_range_location::product,3,0.06913781874,1,1
rx_interaction::rx_intraday_return::rx_volatility_state::spread,1,0.04545075862,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::product,3,0.03447508339,0,0
rx_interaction::rx_range_location::rx_volatility_state::product,2,0.03284216731,0,0
rx_interaction::rx_opening_divergence::rx_range_location::spread,2,0.03061414754,0,2
rx_interaction::rx_opening_divergence::rx_volatility_state::spread,2,0.03050546987,0,2
rx_interaction::rx_opening_range::rx_range_location::spread,1,0.02931499329,0,0
rx_interaction::rx_intraday_return::rx_range_location::product,4,0.02647252969,0,3
rx_interaction::rx_intraday_return::rx_volatility_state::product,1,0.02237271636,0,0
