cluster_id,candidate_uid,in_l2_daily_proxy_book,grade,daily_proxy_pass,proof_status_before_deep_tests,audit_decision,representative_expression,source_lane,source_phase,field_count,operator_count,field_list,operator_list,p90_turnover,cost_adjusted_score,capacity_proxy,new_vs_149_proxy,subperiod_stability_status,regime_stability_status,sign_flip_placebo_status,low_order_ablation_status,minute_execution_capacity_status,missing_tests,required_next_action
s47_cluster_006,phase3k_b_fresh:s47_cluster_006,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",formula_gen_v2_repair_expansion,Phase3K-B,2,5,$amount|$close,CSRank|Mean|Mul|Sign|ZScore,0.151724,7.468191,66581701.945,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_018,phase3j_locked:cluster_018,False,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(CSResidual(CSRank($close),CSRank($volume))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3J,2,7,$close|$volume,Abs|CSRank|CSResidual|Delta|Mean|Mul|ZScore,0.128412,3.209146,26582522.4,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_014,phase3j_locked:cluster_014,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",formula_gen_v2_repair_expansion,Phase3J,2,4,$close|$final_float_market_cap,CSRank|Mean|Mul|ZScore,0.041078,2.682759,118236558.781,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s48_cluster_006,phase3k_b_fresh:s48_cluster_006,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))",agnostic_freeform_ast,Phase3K-B,2,6,$close|$turnover_rate,CSRank|Mean|Mul|Sign|Std|ZScore,0.094871,4.221407,20723887.29,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s50_cluster_005,phase3k_b_fresh:s50_cluster_005,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8)))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3K-B,3,6,$amount|$close|$final_float_market_cap,Abs|CSRank|Delta|Mean|Mul|ZScore,0.065529,3.742877,49459578.094,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s49_cluster_007,phase3k_b_fresh:s49_cluster_007,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,34))))",r0_cem_led,Phase3K-B,2,4,$close|$final_float_market_cap,CSRank|Mean|Mul|ZScore,0.025655,2.293998,119191295.125,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_008,phase3j_locked:cluster_008,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3J,3,6,$amount|$close|$final_float_market_cap,Abs|CSRank|Delta|Mean|Mul|ZScore,0.148589,3.494263,46935603.135,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s47_cluster_013,phase3k_b_fresh:s47_cluster_013,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($final_float_market_cap),2))))",r0_cem_led,Phase3K-B,2,5,$close|$final_float_market_cap,Abs|CSRank|Mean|Mul|ZScore,0.033048,2.493115,115067321.087,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s50_cluster_006,phase3k_b_fresh:s50_cluster_006,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($close),ZScore($amount))))),Mul(ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))),ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))))))",formula_gen_v2_repair_expansion,Phase3K-B,2,4,$amount|$close,CSRank|Mul|Sign|ZScore,0.221826,2.795691,64781224.645,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_017,phase3j_locked:cluster_017,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",agnostic_freeform_ast,Phase3J,3,4,$amount|$open|$vwap,CSRank|Mean|Mul|Sign,0.125839,2.098815,61115043.581,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
